name,wins,losses,draws,height_cm,reach_cm,stance,strikes_landed_min,strike_accuracy,strikes_absorbed_min,strike_defense,takedown_avg,takedown_accuracy,win_ratio
Christian Morecraft,8,3,0,198.12,205.74,Orthodox,2.82,0.34,2.46,0.46,3.26,0.66,0.72720661758022
Johnny Case,22,6,0,177.8,182.88,Orthodox,3.95,0.38,2.66,0.61,1.7,0.45,0.7856862254919467
Johil de Oliveira,17,15,1,167.64,,Orthodox,0.51,0.34,0.73,0.58,1.1,0.5,0.5312333989562826
Mackenzie Dern,16,5,0,162.56,160.02,Orthodox,3.47,0.41,3.93,0.51,0.93,0.18,0.7618684824532165
Humberto Brown Morrison,4,6,0,177.8,,,1.71,0.5,2.19,0.62,1.43,0.25,0.3999600039996001
Ricky Turcios,13,6,0,175.26,180.34,Orthodox,4.68,0.39,3.84,0.51,0.85,0.17,0.6841745171306773
Jorge Interiano,4,3,0,185.42,,,0.0,0.405,0.0,0.51,1.15,0.32,0.571346950435652
Satoshi Honma,4,6,3,185.42,,Orthodox,0.0,0.405,0.0,0.51,1.15,0.32,0.3999600039996001
Devin Johnson,1,1,1,,,,0.0,0.405,0.0,0.51,1.15,0.32,0.49975012493753124
Patrick Cote,23,11,0,180.34,190.5,Orthodox,2.81,0.48,3.21,0.48,0.68,0.2,0.6764506926266874
Lerone Murphy,17,1,1,175.26,185.42,Orthodox,4.34,0.51,2.65,0.6,1.2,0.54,0.944391978223432
Ricco Rodriguez,53,25,0,193.04,,Orthodox,1.85,0.51,1.15,0.61,2.3,0.39,0.6794784682247663
Kaleo Kwan,11,16,0,170.18,,,0.0,0.405,0.0,0.51,1.15,0.32,0.4073923188030073
Dean Barry,4,2,0,177.8,182.88,Orthodox,9.31,0.4,4.66,0.51,1.15,0.32,0.6665555740709881
CJ Fernandes,14,8,3,187.96,,,0.0,0.405,0.0,0.51,1.15,0.32,0.6363347120585428
Adam Hunter,7,1,0,185.42,,Orthodox,0.0,0.405,0.0,0.51,1.15,0.32,0.8748906386701663
Jay Cucciniello,8,1,0,170.18,,Orthodox,0.93,0.21,4.73,0.36,1.15,0.32,0.8887901344295079
Drew Dober,29,15,0,172.72,177.8,Southpaw,4.48,0.41,4.33,0.53,0.61,0.16,0.659075930092498
Mike French,9,10,0,177.8,,,0.23,0.23,2.17,0.42,1.15,0.32,0.4736592810904689
John Adajar,6,2,0,175.26,190.5,Orthodox,3.9,0.52,6.28,0.44,1.15,0.32,0.7499062617172854
