name,wins,losses,draws,height_cm,reach_cm,stance,strikes_landed_min,strike_accuracy,strikes_absorbed_min,strike_defense,takedown_avg,takedown_accuracy
Christian Morecraft,8,3,0,198.12,205.74,Orthodox,2.82,0.34,2.46,0.46,3.26,0.66
Johnny Case,22,6,0,177.8,182.88,Orthodox,3.95,0.38,2.66,0.61,1.7,0.45
Johil de Oliveira,17,15,1,167.64,,Orthodox,0.51,0.34,0.73,0.58,1.1,0.5
Mackenzie Dern,16,5,0,162.56,160.02,Orthodox,3.47,0.41,3.93,0.51,0.93,0.18
Humberto Brown Morrison,4,6,0,177.8,,,1.71,0.5,2.19,0.62,1.43,0.25
Ricky Turcios,13,6,0,175.26,180.34,Orthodox,4.68,0.39,3.84,0.51,0.85,0.17
Jorge Interiano,4,3,0,185.42,,,0.0,0.0,0.0,0.0,0.0,0.0
Satoshi Honma,4,6,3,185.42,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0
Devin Johnson,1,1,1,,,,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Cote,23,11,0,180.34,190.5,Orthodox,2.81,0.48,3.21,0.48,0.68,0.2
Lerone Murphy,17,1,1,175.26,185.42,Orthodox,4.34,0.51,2.65,0.6,1.2,0.54
Ricco Rodriguez,53,25,0,193.04,,Orthodox,1.85,0.51,1.15,0.61,2.3,0.39
Kaleo Kwan,11,16,0,170.18,,,0.0,0.0,0.0,0.0,0.0,0.0
Dean Barry,4,2,0,177.8,182.88,Orthodox,9.31,0.4,4.66,0.51,0.0,0.0
CJ Fernandes,14,8,3,187.96,,,0.0,0.0,0.0,0.0,0.0,0.0
Adam Hunter,7,1,0,185.42,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0
Jay Cucciniello,8,1,0,170.18,,Orthodox,0.93,0.21,4.73,0.36,0.0,0.0
Drew Dober,29,15,0,172.72,177.8,Southpaw,4.48,0.41,4.33,0.53,0.61,0.16
Mike French,9,10,0,177.8,,,0.23,0.23,2.17,0.42,0.0,0.0
John Adajar,6,2,0,175.26,190.5,Orthodox,3.9,0.52,6.28,0.44,0.0,0.0
